Date,Close
Mar 20, 2026,46.59
Mar 19, 2026,47.52
Mar 18, 2026,47.72
Mar 17, 2026,48.52
Mar 16, 2026,48.56
Mar 13, 2026,48.06
Mar 12, 2026,48.52
Mar 11, 2026,49.27
Mar 10, 2026,49.93
Mar 9, 2026,49.98
Mar 6, 2026,49.99
Mar 5, 2026,50.37
Mar 4, 2026,50.27
Mar 3, 2026,50.22
Mar 2, 2026,50.95
Feb 27, 2026,52.27
Feb 26, 2026,52.58
Feb 25, 2026,52.74
Feb 24, 2026,52.67
Feb 23, 2026,52.61
Feb 20, 2026,53.42
Feb 19, 2026,52.30
Feb 18, 2026,53.32
Feb 17, 2026,53.27
Feb 13, 2026,52.89
Feb 12, 2026,53.11
Feb 11, 2026,53.53
Feb 10, 2026,53.74
Feb 9, 2026,53.44
Feb 6, 2026,53.28
Feb 5, 2026,52.95
Feb 4, 2026,53.44
Feb 3, 2026,53.15
Feb 2, 2026,53.28
Jan 30, 2026,51.74
Jan 29, 2026,51.61
Jan 28, 2026,51.49
Jan 27, 2026,51.69
Jan 26, 2026,51.44
Jan 23, 2026,51.24
Jan 22, 2026,51.80
Jan 21, 2026,51.55
Jan 20, 2026,51.73
Jan 16, 2026,52.85
Jan 15, 2026,53.22
Jan 14, 2026,53.25
Jan 13, 2026,53.04
Jan 12, 2026,53.40
Jan 9, 2026,53.18
Jan 8, 2026,53.72
Jan 7, 2026,54.20
Jan 6, 2026,54.08
Jan 5, 2026,54.29
Jan 2, 2026,54.56
Dec 31, 2025,54.05
Dec 30, 2025,53.64
Dec 29, 2025,53.47
Dec 26, 2025,53.84
Dec 24, 2025,54.01
Dec 23, 2025,54.47
Dec 22, 2025,54.19
Dec 19, 2025,54.15
Dec 18, 2025,53.28
Dec 17, 2025,52.97
Dec 16, 2025,52.95
Dec 15, 2025,53.10
Dec 12, 2025,53.14
Dec 11, 2025,53.57
Dec 10, 2025,53.36
Dec 9, 2025,53.27
Dec 8, 2025,53.08
Dec 5, 2025,53.97
Dec 4, 2025,53.76
Dec 3, 2025,53.41
Dec 2, 2025,53.88
Dec 1, 2025,54.33
Nov 28, 2025,54.71
Nov 26, 2025,54.67
Nov 25, 2025,54.28
Nov 24, 2025,54.22
Nov 21, 2025,54.21
Nov 20, 2025,54.72
Nov 19, 2025,54.83
Nov 18, 2025,54.61
Nov 17, 2025,54.65
Nov 14, 2025,54.62
Nov 13, 2025,54.20
Nov 12, 2025,54.56
Nov 11, 2025,54.74
Nov 10, 2025,54.15
Nov 7, 2025,53.75
Nov 6, 2025,53.62
Nov 5, 2025,54.30
Nov 4, 2025,54.02
Nov 3, 2025,54.24
Oct 31, 2025,53.97
Oct 30, 2025,54.27
Oct 29, 2025,54.61
Oct 28, 2025,54.54
Oct 27, 2025,54.72
Oct 24, 2025,54.51
Oct 23, 2025,54.76
Oct 22, 2025,55.29
Oct 21, 2025,54.48
Oct 20, 2025,54.74
Oct 17, 2025,54.45
Oct 16, 2025,54.07
Oct 15, 2025,53.76
Oct 14, 2025,52.78
Oct 13, 2025,52.97
Oct 10, 2025,52.77
Oct 9, 2025,52.81
Oct 8, 2025,52.63
Oct 7, 2025,52.88
Oct 6, 2025,52.76
